CWC ID Number,Other ID Number,Collection Date,Site,Latitude,Longitude ,Habitat/Location (measurements in meters indicate distance from marsh edge),Gear,Node Group,Node Code,Common Name,Scientific Name,n,Total Length (mm),Fork Length (mm),Carapace width (mm),Weight (grams),Sex,Tissue Collected,Collection Notes
CWC0102,na,May 2015,PS5,29.449130°,-89.749237°,pond,Seine,"Fish, marsh, omnivorous",Marsh omn. fish,Diamond killifish,Fundulus xenicus,1,na,na,na,na,na,whole body,vacuum sealed
CWC0103,na,May 2015,PS5,29.449130°,-89.749237°,pond,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Sailfin molly,Poecilia latipinna,1,na,na,na,na,na,whole body,vacuum sealed
CWC0104,na,May 2015,PS5,29.449130°,-89.749237°,pond,Seine,"Fish, marsh, omnivorous",Marsh omn. fish,Diamond killifish,Fundulus xenicus,>10,na,na,na,na,na,whole body,
CWC0106,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,94,na,na,na,na,muscle,
CWC0107,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, benthivorous",Benth. fish,Gizzard shad,Dorosoma cepedianum,>10,na,na,na,na,na,whole body,vacuum sealed
CWC0108,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,>10,na,na,na,na,na,whole body,vacuum sealed
CWC0109,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,72,na,na,na,na,muscle,
CWC0110,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Fish, invertivorous",Invert. fish,Pinfish,Lagodon rhomboides,4,na,na,na,na,na,whole body,
CWC0111,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,72,na,na,na,na,muscle,
CWC0112,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,71,na,na,na,na,muscle,
CWC0113,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,81,na,na,na,na,muscle,
CWC0115,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Fish, carnivorous",Carn. fish,Sand seatrout/White trout,Cynoscion arenarius,12,na,na,na,na,na,whole body,vacuum sealed
CWC0116,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Fish, zooplanktivorous",Zoop. fish,Bay anchovy,Anchoa mitchilli,na,na,na,na,na,na,whole body,vacuum sealed
CWC0117,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Fish, benthivorous",Benth. fish,Black cheek tongefish,Symphurus plagiusa,2,na,na,na,na,na,whole body,vacuum sealed
CWC0118,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,62,na,na,na,na,muscle,
CWC0119,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,~30,na,na,na,na,na,muscle,
CWC0120,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,~30,na,na,na,na,na,muscle,
CWC0121,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,~30,na,na,na,na,na,muscle,
CWC0122,na,May 2015,PS5/PS7,na,na,na,na,UNKNOWN,UNK,Insects (variety),na,na,na,na,na,na,na,whole body,bags were vacuumed sealed at RUMFS
CWC0123,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,165,na,na,na,na,muscle and stomach,
CWC0124,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,163,na,na,na,na,muscle and stomach,
CWC0125,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,159,na,na,na,na,muscle and stomach,
CWC0126,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Hardhead catfish,Arius felis,1,280,na,na,na,na,muscle and stomach,
CWC0127,na,May 2015,PS7,29.474614°,-89.855600°,edge,na,"Fish, benthivorous",Benth. fish,Hardhead catfish,Arius felis,1,330,na,na,na,na,muscle and stomach,
CWC0128,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0129,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0130,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0131,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0132,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0133,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0134,na,May 2015,PS7,29.474614°,-89.855600°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0135,na,May 2015,PS7,29.474614°,-89.855600°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0136,na,May 2015,PS7,29.474614°,-89.855600°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0137,na,May 2015,PS7,29.474614°,-89.855600°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0138,na,May 2015,PS7,29.474614°,-89.855600°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0139,na,May 2015,PS7,29.474614°,-89.855600°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1 to 2,na,na,na,na,na,muscle,
CWC0140,na,May 2015,PS7,29.474614°,-89.855600°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,sample 1; 225 mL
CWC0141,na,May 2015,PS7,29.474614°,-89.855600°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,sample 1; 225 mL
CWC0142,na,May 2015,PS7,29.474614°,-89.855600°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,sample 2; 225 mL
CWC0143,na,May 2015,PS7,29.474614°,-89.855600°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,sample 2; 225 mL
CWC0144,na,May 2015,PS7,29.474614°,-89.855600°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,sample 3; 225 mL
CWC0145,na,May 2015,PS7,29.474614°,-89.855600°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,sample 3; 225 mL
CWC0146,na,May 2015,PS7,29.474614°,-89.855600°,creek,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,225 mL
CWC0147,na,May 2015,PS7,29.474614°,-89.855600°,creek,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,225 mL
CWC0148,na,May 2015,PS7,29.474614°,-89.855600°,edge,Seine,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,15,na,na,na,na,na,whole body,"vacuumed sealed, about 50"
